Numero;Nimi;Valmistaja;Pullokoko;Hinta;Litrahinta;Tyyppi;Valmistusmaa;Vuosikerta;Alkoholi-%;Energia kcal/100 ml
509607;Jacquesson Millésime Dégorgement Tardif Champagne Extra-Brut 2000;Jacquesson;0,75 l;170.0;226.67;kuohuviinit & samppanjat;Ranska;2000.0;12.0;70.0
924277;Jean Michel Meunier Champagne Brut 2014;Jean Michel;0,75 l;49.17;65.56;kuohuviinit & samppanjat;Ranska;2014.0;12.0;70.0
924687;Jean Vesselle Champagne Extra Brut;Jean Vesselle;0,75 l;45.7;60.93;kuohuviinit & samppanjat;Ranska;;12.0;70.0
940731;Jean Vesselle Cuvée Le Petit Clos Grand Cru Bouzy Champagne Brut 2006;Champagne Jean Vesselle;0,75 l;147.3;196.4;kuohuviinit & samppanjat;Ranska;2006.0;12.0;70.0
959447;Jean Vesselle Oeil de Perdrix Champagne Brut;Jean Vesselle;0,75 l;46.8;62.4;kuohuviinit & samppanjat;Ranska;;12.0;70.0
919797;Jeeper Grande Réserve Blanc de Blancs Champagne Brut;Jeeper;0,75 l;53.5;71.33;kuohuviinit & samppanjat;Ranska;;12.0;70.0
599637;Joly Prestige Blanc de Noir Millésime Lieu-dit les Joines Champagne Brut 2014;Joly Champagne;0,75 l;49.68;66.11;kuohuviinit & samppanjat;Ranska;2014.0;12.5;70.0
933893;Joseph Loriot-Pagel Cuvée No 6 Millésimée Champagne  Brut 2006;Champagne Joseph Loriot Pagel;0,75 l;75.6;100.8;kuohuviinit & samppanjat;Ranska;2006.0;12.5;70.0
936907;Joseph Perrier Cuvée Royale Blanc de Noirs Champagne Brut Nature 2009;Joseph Perrier;0,75 l;73.49;97.99;kuohuviinit & samppanjat;Ranska;2009.0;12.0;70.0
947747;Joseph Perrier Cuvée Royale Brut;Joseph Perrier;0,75 l;42.9;57.07;kuohuviinit & samppanjat;Ranska;;12.0;70.0
910428;Joseph Perrier Cuvée Royale Champagne Brut;Joseph Perrier;6 l;400.3;66.72;kuohuviinit & samppanjat;Ranska;;12.0;70.0
565013;Joseph Perrier Cuvée Royale Champagne Brut;Joseph Perrier;0,2 l;11.9;59.0;kuohuviinit & samppanjat;Ranska;;12.0;70.0
929138;Joseph Perrier Cuvée Royale Magnum Champagne Brut;Joseph Perrier;1,5 l;79.98;53.32;kuohuviinit & samppanjat;Ranska;;12.0;70.0
